id,address,city,description,latitude,longitude,price,state,street,title,totalScore,categories,image_url
0,"House number 72, 8th Main Rd, Vidyagiri Layout, Nagarbhavi 1st Stage, BDA Lay Out, Chandra Layout, Bengaluru, Karnataka 560072, India",Bengaluru,,12.9538226,77.5208379,,Karnataka,"House number 72, 8th Main Rd",Uttarakhand,,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipNE2e8Vym3SO2_j3w5JRXgm0OjXbh9Nt8SDX4UD=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOe4mHt0Mq9M0vzCApHFW7uiXB-Yxsv0XdTk7AC=w1920-h1080-k-no"
1,"Mavalli, Bengaluru, Karnataka 560004, India",Bengaluru,Botanical garden with an aquarium & glasshouse designed to mimic London's former Crystal Palace.,12.9507432,77.5847773,,Karnataka,,Lalbagh Botanical Garden,4.4,"Tourist attraction, Garden, Botanical garden","https://lh5.googleusercontent.com/p/AF1QipNTU8WPXqwODVdyayZkYakXZ3-w1en5k1LpRTGC=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPMZHKD9ORB-bVI882CxyXYHTWLvSvcz7i0lIGQ=w1920-h1080-k-no"
2,"XGV3+RP6, Hegganahalli Main Rd, Sollapuradamma Layout, Venkateswara Nagar, Sunkadakatte, Bengaluru, Karnataka 560091, India",Bengaluru,,12.9945267,77.5042652,,Karnataka,"XGV3+RP6, Hegganahalli Main Rd",Sri Sollapuradamma Temple,4.6,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipPG05ov_PkWlGP07Z-eyHrus_Wg_W4aeLa1mBr_=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOjZR_w8JG88WEb1wkhe_44guf2UwyNlwe0Sc1o=w1920-h1080-k-no"
3,"XJF2+6GQ, State Bank of India Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",Bengaluru,,12.9729902,77.6013054,,Karnataka,"XJF2+6GQ, State Bank of India Rd",India Flag,,Tourist attraction,https://lh5.googleusercontent.com/p/AF1QipNtS7LX045Ij5vAgsSsJaUsmlGqPbk73yeAteQm=w1920-h1080-k-no
4,"38/1, Mohammedan Block, Basavanagudi, Bengaluru, Karnataka 560004, India",Bengaluru,,12.9405293,77.5769439,,Karnataka,38/1,Lion statue,4.8,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipPZYbZXGyXuTQUBviajJSnWskUjxh8TdGjGu0o1=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPNhYSXrj2zuIWEL8rtiC0OIGS_2W0NTX73kY2W=w1920-h1080-k-no"
5,"205, 83rd Cross Rd, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078, India",Bengaluru,,12.9058914,77.5638197,,Karnataka,"205, 83rd Cross Rd",Kumaraswamy Temple,4.5,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipMHr0mQUk0QmX4mpUVSVNMEoZN1npSoKT52MowZ=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipNQELSt1dPTEr5u4RXVM9Yj7SDJJFCvdEfO3zDb=w1920-h1080-k-no"
6,"WH7V+P77, KSRTC Layout, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560069, India",Bengaluru,"Historic Hindu temple on a hill with colorful shrines, scenic views & many cultural events.",12.9142864,77.593172,,Karnataka,WH7V+P77,Ragigudda Sri Prasanna Anjaneyaswamy Temple,4.8,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipOz3wiCZSOuxPnD9bW9HUzI0b9usrqPTFp7gXP_=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOexrgHlV22WxanLBzWLE0HpEkhxX0FSwxKznHR=w1920-h1080-k-no"
7,"629, 8th B Main Rd, Saneguruvanahalli, Rajajinagar, Bengaluru, Karnataka 560079, India",Bengaluru,,12.991934,77.5438508,,Karnataka,"629, 8th B Main Rd",ಪುನೀತ್ ರಾಜಕುಮಾರ್ ಪ್ರತಿಮೆ,,Tourist attraction,
8,"BEML, Kempegowda Rd, 5th Stage, Rajarajeshwari Nagar, Bengaluru, Karnataka 560098, India",Bengaluru,Prayer complex with a soaring temple tower featuring the six faces of Hindu deity Lord Shanmukha.,12.9124567,77.5289414,,Karnataka,"BEML, Kempegowda Rd",Shrungagiri Sri Shanmukha Swami Gudi,4.7,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipN0xO54jlt0xyl5gcxmq4F-giAREas0e-0fUxh0=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOHd-3DZGaoJwxHYMWjddWGPE4g8LNGRI6wXTD8=w1920-h1080-k-no"
9,"49, 4th Cross Rd, CK Nagar, NR Colony, Basavanagudi, Bengaluru, Karnataka 560050, India",Bengaluru,,12.9389932,77.5655301,,Karnataka,"49, 4th Cross Rd",Rich roopa,,Tourist attraction,
10,"XHQ7+C67, 2nd Main Rd, Ramachandrapuram, S.S.I.Area, Dayananda Nagar, Srirampura, Bengaluru, Karnataka 560021, India",Bengaluru,,12.988543,77.563038,,Karnataka,"XHQ7+C67, 2nd Main Rd",Sri Annapoorneshwari Devi Gudi,4.7,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipMxdM8n6hB72TC-MEEKwNoF_48idM16cgcgI43e=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPmXd3QIiHnZbiO6isFmrocC5b7eYSjJV1xq2vq=w1920-h1080-k-no"
11,"816/i 16th Cross, Krishna Rajendra Rd, 7th Block, west block, Bengaluru, Karnataka 560082, India",Bengaluru,,12.9224695,77.5743267,,Karnataka,"816/i 16th Cross, Krishna Rajendra Rd",Aralikatte,4.2,"News service, Software company, Tourist attraction",https://lh5.googleusercontent.com/p/AF1QipMJZKKlbcU32041ERAuH1Su7ZzNI8VquMtRORe3=w1920-h1080-k-no
12,"Omkar Hills, Shrinivasapura, Bengaluru, Karnataka 560060, India",Bengaluru,"Hilltop with ornate temples & a grand clocktower, plus free-roaming peacocks & panoramic city views.",12.8996819,77.5055442,,Karnataka,Omkar Hills,Omkara Ashrama Mahaasamsthaana,4.6,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipP6LbQbm0WWFqdl8sx14KGhdD0k30DUSB6ljH2K=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPQowF9y2afSY5wPGCzYjyetPfY6ml1J3mOCqBl=w1920-h1080-k-no"
13,"VGMR+HG2, 80 Feet Rd, Gubbalala, Subramanyapura, Bengaluru, Karnataka 560062, India",Bengaluru,,12.8838997,77.5412662,,Karnataka,"VGMR+HG2, 80 Feet Rd",Goodu junction,4.0,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipOJuz0GyJ3NMYeSSPV4HXAA1j0VYWtNiGjO1Xaj=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPAeIUTaBTCoPcgGg1Zl4s_zyjfnQRpR_s3VkVQ=w1920-h1080-k-no"
14,"WHX7+754, 5th Main Rd, Gavipuram Extention, Kempegowda Nagar, Bengaluru, Karnataka 560019, India",Bengaluru,"Built into a cave, this 1500s temple features monolithic sculptures & an annual sun illumination.",12.9481464,77.5629406,,Karnataka,"WHX7+754, 5th Main Rd",Sri Gavi Gangaadhareshwara Swamy Devasthana,4.7,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipMbt2z-w9jaM4GQnFOdCQ2JaS86gwKK9_Q97FfO=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipM34EYJ1ZqGq8bEMGgxwx4uclEBNexYP6w8Nyrg=w1920-h1080-k-no"
15,"Magadi Main Rd, IInd Phase, Byadarahalli, Bengaluru, Karnataka 560091, India",Bengaluru,,12.9767682,77.4780131,,Karnataka,Magadi Main Rd,Sri Sai tour's and travels,5.0,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipOUUv7B-caHEDg78Vf1XR8zVT9-EH2N8SrxziNW=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOcsdRwVT1CpivfPRWqI3ebrx6INfs6YsijQHta=w1920-h1080-k-no"
16,"Vishweshwarapura, Basavanagudi, Bengaluru, Karnataka 560004, India",Bengaluru,,12.9519928,77.5774023,,Karnataka,,Kota Sri Venkataramana Swamy Temple Trust (R),4.7,"Tourist attraction, Place of worship, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipOYr3F061Xt2KoaHWbI3oXToomsm9wSsaUESrg5=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOMX3UcdTVtCK5fSHu-2L6fy2Iay8kPLzUYBY9A=w1920-h1080-k-no"
17,"8 'sreeprada, 20th Main Rd, JC Nagar, Mahalakshmi Layout, Bengaluru, Karnataka 560086, India",Bengaluru,,13.0016683,77.5306825,,Karnataka,"8 'sreeprada, 20th Main Rd",Triphigh India,4.3,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipOC_Ck-WHTR-kCA2IRTnZ04Nm8J0VCyMpgmb71G=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPj0r7WkfxlfzMOeXmTh87jps39s-wAIkIZ5iRa=w1920-h1080-k-no"
18,"XHFF+M4X, Upparpete, Chickpet, Bengaluru, Karnataka 560053, India",Bengaluru,,12.9740923,77.5728804,,Karnataka,XHFF+M4X,Pegion Feeding,,Tourist attraction,
19,"piriyapatanadamma temple, Near, no 14/18 thammanna, Shiridi Sai Baba Layout, Vidyamanya Nagar, Bengaluru, Karnataka 560091, India",Bengaluru,,13.0093133,77.4934867,,Karnataka,"piriyapatanadamma temple, Near, no 14/18 thammanna",Dr raj sheha geleyara balaga,,Tourist attraction,
20,"39, 9th B Cross Rd, West of Chord Road 2nd Stage, West of Chord Road, Stage 2, Basaveshwar Nagar, Bengaluru, Karnataka 560086, India",Bengaluru,,12.9987386,77.5489791,,Karnataka,"39, 9th B Cross Rd",CCTV poll no 2,,Tourist attraction,
21,"96, Hosur Rd, Zuzuvadi, 1st Stage, BTM Layout, Bengaluru, Karnataka 560068, India",Bengaluru,,12.927588,77.616116,,Karnataka,"96, Hosur Rd",N s bus,,Tourist attraction,
22,"XG58+8X4, 1st C Cross Rd, 4 Block, Teachers Colony, Chandra Layout, Bengaluru, Karnataka 560056, India",Bengaluru,,12.9582649,77.5174572,,Karnataka,"XG58+8X4, 1st C Cross Rd",Lucky gowdru camara,5.0,Tourist attraction,
23,"Hare Krishna Hill, Chord Rd, Rajajinagar, Bengaluru, Karnataka 560010, India",Bengaluru,"Expansive, modern Hare Krishna temple campus, including shrines, food stalls & souvenir shops.",13.0098328,77.5510964,$$$,Karnataka,"Hare Krishna Hill, Chord Rd",ISKCON temple Bangalore,4.6,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipOw8tuxsG3h3SdkkQ0ZpaM6-rny0HJ2M2E2nRnV=w1920-h1080-k-no,https://lh3.googleusercontent.com/gps-proxy/ALm4wwk-gitrb_BbuKJJ2TzYhlO9FaFUaGUNUcJ_lZ_LWQY0Kpz9aHYfTVusUp3TSSC8uDaa_c8_elvKHOcWXvhSgeJ9yfFu5DcSaILxDxoc9C8Z25BC1dLKSQzAoh5baKwbpgr3A032lCRYHc55zfLX6jRnunUEPyq4IKJuVXWxhbCFhyuiusS6OXLxrg=w1920-h1080-k-no"
